iter	Passed	Remaining
0	1	166
1	3	162
2	4	161
3	6	150
4	8	155
5	9	146
6	11	152
7	13	153
8	15	154
9	17	158
10	20	161
11	21	158
12	22	152
13	24	152
14	27	153
15	29	152
16	31	152
17	32	149
18	34	145
19	35	140
20	36	136
21	38	135
22	40	134
23	41	132
24	44	132
25	46	132
26	47	129
27	50	128
28	52	127
29	54	127
30	57	126
31	59	125
32	61	125
33	64	124
34	66	124
35	69	123
36	71	121
37	73	119
38	75	117
39	77	116
40	78	113
41	79	110
42	81	107
43	83	105
44	85	104
45	87	102
46	89	100
47	91	99
48	92	96
49	94	94
50	96	92
51	97	90
52	99	88
53	100	85
54	101	83
55	103	81
56	105	79
57	107	77
58	109	75
59	110	73
60	112	72
61	114	70
62	115	68
63	117	66
64	119	64
65	121	62
66	122	60
67	124	58
68	126	56
69	128	55
70	130	53
71	132	51
72	134	49
73	135	47
74	137	45
75	138	43
76	140	41
77	141	39
78	143	38
79	144	36
80	145	34
81	147	32
82	148	30
83	150	28
84	151	26
85	153	24
86	154	23
87	156	21
88	157	19
89	158	17
90	160	15
91	161	14
92	162	12
93	164	10
94	165	8
95	167	6
96	168	5
97	170	3
98	171	1
99	173	0
